using HTTP for the container environment
         6795529 function calls (6512220 primitive calls) in 58.053 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
     9534    0.006    0.000    0.028    0.000 _collections_abc.py:742(__iter__)
      336    0.002    0.000    0.006    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.000    0.000 _color_data.py:7(<module>)
        2    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _common.py:128(_validate_fromutc_inputs)
        6    0.000    0.000    0.000    0.000 _common.py:13(tzname_in_python2)
        1    0.000    0.000    0.000    0.000 _common.py:145(_tzinfo)
        1    0.000    0.000    0.000    0.000 _common.py:263(tzrangebase)
        1    0.000    0.000    0.000    0.000 _common.py:6(weekday)
        7    0.000    0.000    0.000    0.000 _common.py:9(__init__)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.001    0.001 _core.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _core.py:603(PlotAccessor)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:144(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:169(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:272(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:626(Repository)
        1    0.000    0.000    0.001    0.001 _decorators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decorators.py:11(deprecate)
        7    0.000    0.000    0.000    0.000 _decorators.py:157(_deprecate_kwarg)
        3    0.000    0.000    0.000    0.000 _decorators.py:249(deprecate_nonkeyword_arguments)
        3    0.000    0.000    0.000    0.000 _decorators.py:276(decorate)
        3    0.000    0.000    0.000    0.000 _decorators.py:306(rewrite_axis_style_signature)
        3    0.000    0.000    0.000    0.000 _decorators.py:309(decorate)
        1    0.000    0.000    0.001    0.001 _decorators.py:310(wrapper)
      190    0.000    0.000    0.000    0.000 _decorators.py:336(doc)
      190    0.001    0.000    0.012    0.000 _decorators.py:356(decorator)
      190    0.000    0.000    0.006    0.000 _decorators.py:376(<listcomp>)
        1    0.000    0.000    0.000    0.000 _decorators.py:397(Substitution)
       96    0.000    0.000    0.000    0.000 _decorators.py:426(__init__)
       96    0.000    0.000    0.000    0.000 _decorators.py:432(__call__)
        1    0.000    0.000    0.000    0.000 _decorators.py:444(Appender)
      220    0.000    0.000    0.000    0.000 _decorators.py:466(__init__)
      220    0.000    0.000    0.017    0.000 _decorators.py:473(__call__)
        3    0.000    0.000    0.000    0.000 _decorators.py:481(indent)
        7    0.000    0.000    0.000    0.000 _decorators.py:85(deprecate_kwarg)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
     4127    0.008    0.000    0.018    0.000 _dtype.py:319(_name_get)
       16    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
        1    0.000    0.000    0.002    0.002 _dtype_ctypes.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:69(_from_ctypes_scalar)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:101(_UFuncOutputCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:120(TooHardError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:125(AxisError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:143(_ArrayMemoryError)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.000    0.000 _exceptions.py:34(UFuncTypeError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:40(_UFuncBinaryResolutionError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:56(_UFuncNoLoopError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:74(_UFuncCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:83(_UFuncInputCastingError)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _factories.py:14(_TzFactory)
        1    0.000    0.000    0.000    0.000 _factories.py:20(_TzOffsetFactory)
        1    0.000    0.000    0.000    0.000 _factories.py:21(__init__)
